timestamp,flight_number,airline,aircraft_type,origin,assigned_gate,assignment_reason,passengers,scheduled_arrival,status
2025-08-01T20:45:57.312410,AA5678,American,Airbus A321,New York JFK,D5,"Optimal assignment: American hub gate in Terminal 2, correct American terminal, medium aircraft fits large gate, highest operational efficiency score",180,14:45,Approaching
2025-08-01T20:45:59.663657,WN2345,Southwest,Boeing 737-700,Las Vegas,B17,"Optimal assignment: Southwest hub gate in Terminal 1, correct Southwest terminal, medium aircraft fits medium gate, highest operational efficiency score",143,15:00,En Route
2025-08-01T20:46:02.020156,DL9876,Delta,Boeing 757-200,Seattle,B7,Optimal assignment: medium aircraft fits medium gate,201,15:15,En Route
2025-08-01T20:46:04.271523,AS1122,Alaska,Boeing 737-900,Portland,B15,"Optimal assignment: Alaska hub gate in Terminal 1, medium aircraft fits medium gate, highest operational efficiency score",178,15:30,En Route
2025-08-01T20:46:06.499821,BA0285,British Airways,Boeing 777-300ER,London Heathrow,A7,"Optimal assignment: international arrival with customs capability, extra large aircraft fits extra large gate, highest operational efficiency score",345,15:45,En Route
2025-08-01T20:46:08.471399,LH0441,Lufthansa,Airbus A340-600,Frankfurt,A11,"Optimal assignment: international arrival with customs capability, extra large aircraft fits extra large gate, highest operational efficiency score",298,16:00,En Route
2025-08-01T20:46:10.354576,UA0870,United,Boeing 777-200,Tokyo Narita,A1,"Optimal assignment: international arrival with customs capability, large aircraft fits extra large gate, highest operational efficiency score",312,16:15,En Route
2025-08-01T20:46:12.253543,AF0083,Air France,Airbus A350-900,Paris CDG,A5,"Optimal assignment: international arrival with customs capability, large aircraft fits large gate, highest operational efficiency score",276,16:30,En Route
2025-08-01T20:46:14.108611,KL0606,KLM,Boeing 777-200ER,Amsterdam,G7,"Optimal assignment: international arrival with customs capability, large aircraft fits large gate, highest operational efficiency score",294,16:45,En Route
2025-08-01T20:46:15.977549,SQ0019,Singapore Airlines,Airbus A350-900,Singapore,A13,"Optimal assignment: international arrival with customs capability, large aircraft fits large gate, highest operational efficiency score",253,17:00,En Route
2025-08-01T20:46:17.856916,CX0879,Cathay Pacific,Boeing 777-300ER,Hong Kong,G1,"Optimal assignment: international arrival with customs capability, extra large aircraft fits extra large gate, highest operational efficiency score",335,17:15,En Route
2025-08-01T20:46:19.732423,VS0041,Virgin Atlantic,Boeing 787-9,London Heathrow,G13,"Optimal assignment: international arrival with customs capability, large aircraft fits extra large gate, highest operational efficiency score",255,17:30,En Route
2025-08-01T20:46:21.613315,WN1234,Southwest,Boeing 737-800,Phoenix,B23,"Optimal assignment: Southwest hub gate in Terminal 1, correct Southwest terminal, medium aircraft fits medium gate, highest operational efficiency score",162,17:45,En Route
2025-08-01T20:46:23.476932,UA2567,United,Boeing 737-900,Denver,E5,"Optimal assignment: United hub gate in Terminal 3, correct United terminal, medium aircraft fits medium gate, highest operational efficiency score",171,18:00,En Route
2025-08-01T20:46:25.359799,AA8901,American,Boeing 787-8,Miami,D9,"Optimal assignment: American hub gate in Terminal 2, correct American terminal, large aircraft fits large gate, highest operational efficiency score",234,18:15,En Route
2025-08-01T20:46:27.317609,DL3456,Delta,Airbus A330-300,Atlanta,D13,"Optimal assignment: large aircraft fits large gate, highest operational efficiency score",267,18:30,En Route
2025-08-01T20:46:29.260096,AS7890,Alaska,Boeing 737-800,Anchorage,D7,"Optimal assignment: Alaska hub gate in Terminal 2, medium aircraft fits medium gate, highest operational efficiency score",134,18:45,En Route
2025-08-01T20:46:31.131496,NH0007,ANA,Boeing 787-9,Tokyo Haneda,G5,"Optimal assignment: international arrival with customs capability, large aircraft fits extra large gate, highest operational efficiency score",246,19:00,En Route
2025-08-01T20:46:32.753182,TK0080,Turkish Airlines,Boeing 777-300ER,Istanbul,WAITING,"No assignment possible: Extra Large aircraft requires extra large or larger gates, but none available; International flight requires customs-capable gates, but none available",349,19:15,En Route
